Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	0.032694	ug/m2/day	100	91.50684932	91.50684932	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	0.373753	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	0.618136	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	0.179753	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	1.215534	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	1.329232	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	0.128301	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	0.996712	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7018	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	P1Y-WA-avg	1.473095	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
