Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	0.411287	ug/m2/day	100	91.50684932	91.50684932	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	0.737863	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	1.020027	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	1.193479	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	1.215534	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	1.419191	µg/m3	91.50684932	91.50684932	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	1.13652	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	1.560575	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7012	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	P1Y-WA-avg	8.701424	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
