Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	5.50915625	µg/m3	100	100	100	2013-04-14 00:00:00	2013-04-15 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	6.27647216	µg/m3	100	100	100	2013-06-30 00:00:00	2013-07-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	7.03450341	µg/m3	100	100	100	2013-06-23 00:00:00	2013-06-24 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	8.1771875	µg/m3	100	100	100	2013-06-22 00:00:00	2013-06-23 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	8.39272566	µg/m3	100	100	100	2013-05-26 00:00:00	2013-05-27 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	8.39478505	µg/m3	100	79.16666667	79.16666667	2013-04-17 00:00:00	2013-04-18 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	8.40333675	µg/m3	100	100	100	2013-05-05 00:00:00	2013-05-06 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	8.87155208	µg/m3	100	100	100	2013-05-12 00:00:00	2013-05-13 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	9.26084716	µg/m3	100	100	100	2013-02-17 00:00:00	2013-02-18 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	P1D	9.95123258	µg/m3	100	100	100	2013-04-07 00:00:00	2013-04-08 00:00:00	1	1
