Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	AveragingTime	Concentration	UnitOfMeasurement	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	1.6	µg/m3	2013-01-01 00:00:00	2013-02-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	0.8	µg/m3	2013-02-01 00:00:00	2013-03-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	2.2	µg/m3	2013-04-01 00:00:00	2013-05-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	1.2	µg/m3	2013-05-01 00:00:00	2013-06-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	1.1	µg/m3	2013-06-01 00:00:00	2013-07-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	1	µg/m3	2013-07-01 00:00:00	2013-08-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	0.9	µg/m3	2013-08-01 00:00:00	2013-09-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	2.5	µg/m3	2013-09-01 00:00:00	2013-10-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	2	µg/m3	2013-10-01 00:00:00	2013-11-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	3.6	µg/m3	2013-11-01 00:00:00	2013-12-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	5.3	µg/m3	2013-12-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	8.2	µg/m3	2014-03-01 00:00:00	2014-04-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	3.3	µg/m3	2014-04-01 00:00:00	2014-05-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	2.5	µg/m3	2014-06-01 00:00:00	2014-07-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	12.7	µg/m3	2014-07-01 00:00:00	2014-08-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	1.1	µg/m3	2014-08-01 00:00:00	2014-09-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	3.1	µg/m3	2014-09-01 00:00:00	2014-10-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	SPP.IE.IE0108ASample2_7029	SAM.IE.IE0108ASAMPLE2	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	month	7.1	µg/m3	2014-10-01 00:00:00	2014-11-01 00:00:00	1	1
