Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	P1Y-WA-avg	2.025149	µg/m3	100	91.50684932	91.50684932	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	P1Y-WA-avg	6.067272	ug/m2/day	100	75.34246575	75.34246575	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7029	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	P1Y-WA-avg	14.775068	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7029	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	P1Y-WA-avg	2.367365	µg/m3	100	91.50684932	91.50684932	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7029	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	P1Y-WA-avg	6.584931	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7029	BaP	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029	P1Y-WA-avg	6.896078	ug/m2/day	100	83.83561644	83.83561644	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
