Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	AveragingTime	Concentration	UnitOfMeasurement	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	15	µg/m3	2013-01-01 00:00:00	2013-01-02 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	6.9	µg/m3	2013-01-02 00:00:00	2013-01-03 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	21	µg/m3	2013-01-03 00:00:00	2013-01-04 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	21	µg/m3	2013-01-04 00:00:00	2013-01-05 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	8	µg/m3	2013-01-05 00:00:00	2013-01-06 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	5.4	µg/m3	2013-01-06 00:00:00	2013-01-07 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	8.2	µg/m3	2013-01-07 00:00:00	2013-01-08 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	4.2	µg/m3	2013-01-08 00:00:00	2013-01-09 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	4	µg/m3	2013-01-09 00:00:00	2013-01-10 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_6001	SPP.IE.IE001BPSample2_6001	SAM.IE.IE001BPSAMPLE2	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	day	6.2	µg/m3	2013-01-10 00:00:00	2013-01-11 00:00:00	1	1
