Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y	12.72888397	µg/m3	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y	13.23464788	µg/m3	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-max	51	µg/m3	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-max	86.3	µg/m3	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-max36	20.69444444	µg/m3	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-max36	24.4	µg/m3	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-min	1	µg/m3	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-min	1.11111111	µg/m3	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-per50	10.4	µg/m3	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-per50	10.83333333	µg/m3	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-daysAbove50	1	count	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-daysAbove50	6	count	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-P1D-per90.4	22.91666667	µg/m3	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-P1D-per90.4	25.4	µg/m3	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-P1D-per90.41	22.91666667	µg/m3	100	92.87671233	92.87671233	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	SPO.IE.IE001APSample1_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-P1D-per90.41	25.4	µg/m3	100	97.26027397	97.26027397	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y	18.65187319	µg/m3	100	95.06849315	95.06849315	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y	19.32892307	µg/m3	100	89.04109589	89.04109589	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-max	66	µg/m3	100	89.04109589	89.04109589	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample2_5	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	P1Y-day-max	87	µg/m3	100	95.06849315	95.06849315	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
