Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	AveragingTime	Concentration	UnitOfMeasurement	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	1.47	ng/m3	2015-01-01 00:00:00	2015-02-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.69	ng/m3	2015-02-01 00:00:00	2015-03-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.24	ng/m3	2015-03-01 00:00:00	2015-04-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.06	ng/m3	2015-04-01 00:00:00	2015-05-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.01	ng/m3	2015-05-01 00:00:00	2015-06-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.01	ng/m3	2015-06-01 00:00:00	2015-07-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.02	ng/m3	2015-07-01 00:00:00	2015-08-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.01	ng/m3	2015-08-01 00:00:00	2015-09-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.07	ng/m3	2015-09-01 00:00:00	2015-10-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.18	ng/m3	2015-10-01 00:00:00	2015-11-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.46	ng/m3	2015-11-01 00:00:00	2015-12-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	SPP.IE.IE0028ASample2_5029	SAM.IE.IE0028ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.31	ng/m3	2015-12-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5029	SPP.IE.IE0090ASample2_5029	SAM.IE.IE0090ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.04	ng/m3	2015-03-01 00:00:00	2015-04-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5029	SPP.IE.IE0090ASample2_5029	SAM.IE.IE0090ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.12	ng/m3	2015-12-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5029	SPP.IE.IE0090ASample2_5029	SAM.IE.IE0090ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.09	ng/m3	2015-11-01 00:00:00	2015-12-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5029	SPP.IE.IE0090ASample2_5029	SAM.IE.IE0090ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.05	ng/m3	2015-10-01 00:00:00	2015-11-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5029	SPP.IE.IE0090ASample2_5029	SAM.IE.IE0090ASAMPLE2	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	month	0.01	ng/m3	2015-09-01 00:00:00	2015-10-01 00:00:00	1	1
