Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0.005479	ug/m2/day	100	91.50684932	91.50684932	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0.025123	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0.029342	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0.043123	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0108A	IE0108A	SPO.IE.IE0108ASample2_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0.067342	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0.003123	ug/m2/day	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0143A	IE0143A	SPO.IE.IE0143ASample1_7014	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	P1Y-WA-avg	0.166547	ug/m2/day	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
