Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	AveragingTime	Concentration	UnitOfMeasurement	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-01-01 00:00:00	2013-02-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-02-01 00:00:00	2013-03-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-03-01 00:00:00	2013-04-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-04-01 00:00:00	2013-05-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-05-01 00:00:00	2013-06-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-06-01 00:00:00	2013-07-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-07-01 00:00:00	2013-08-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-08-01 00:00:00	2013-09-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-09-01 00:00:00	2013-10-01 00:00:00	3	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5018	SPP.IE.IE0028ASample2_5018	SAM.IE.IE0028ASAMPLE2	As in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5018	month	0.31	µg/m3	2013-10-01 00:00:00	2013-11-01 00:00:00	3	1
