Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5029	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	P1Y-WA-avg	0.292493	ng/m3	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5029	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	P1Y-WA-avg	0.055287	ng/m3	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0110A	IE0110A	SPO.IE.IE0110ASample1_5029	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	P1Y-WA-avg	0.474117	ng/m3	100	83.83561644	83.83561644	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0118A	IE0118A	SPO.IE.IE0118ASample2_5029	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	P1Y-WA-avg	0.409972	ng/m3	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0125A	IE0125A	SPO.IE.IE0125ASample1_5029	BaP in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5029	P1Y-WA-avg	0.272861	ng/m3	100	83.28767123	83.28767123	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
