Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.202739	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.204372	ng/m3	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0028A	IE0028A	SPO.IE.IE0028ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.255397	ng/m3	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.19	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.19	ng/m3	100	100	100	2014-01-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0090A	IE0090A	SPO.IE.IE0090ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.256246	ng/m3	100	100	100	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0098A	IE0098A	SPO.IE.IE0098ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.214986	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0110A	IE0110A	SPO.IE.IE0110ASample1_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.322536	ng/m3	100	75.61643836	75.61643836	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0110A	IE0110A	SPO.IE.IE0110ASample1_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.326476	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0118A	IE0118A	SPO.IE.IE0118ASample2_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.322536	ng/m3	100	75.61643836	75.61643836	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0125A	IE0125A	SPO.IE.IE0125ASample1_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.19	µg/m3	100	100	100	2013-01-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0125A	IE0125A	SPO.IE.IE0125ASample1_5014	Cd in PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5014	P1Y-WA-avg	0.567861	ng/m3	100	83.28767123	83.28767123	2015-01-01 00:00:00	2016-01-01 00:00:00	1	1
