Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	AirPollutant	AirPollutantCode	DataAggregationProcess	AirPollutionLevel	UnitOfAirPollutionLevel	DataCapture	DataCoverage	TimeCoverage	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.58597093	µg/m3	95.83333333	95.83333333	100	2013-06-02 00:00:00	2013-06-03 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.59078993	µg/m3	95.83333333	95.83333333	100	2013-06-01 00:00:00	2013-06-02 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.68809024	µg/m3	100	100	100	2013-06-03 00:00:00	2013-06-04 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.70840964	µg/m3	100	100	100	2013-02-02 00:00:00	2013-02-03 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.72411118	µg/m3	100	100	100	2013-02-16 00:00:00	2013-02-17 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.75736107	µg/m3	100	100	100	2013-02-04 00:00:00	2013-02-05 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.82402173	µg/m3	95.83333333	95.83333333	100	2013-01-31 00:00:00	2013-02-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.84140975	µg/m3	100	100	100	2013-02-17 00:00:00	2013-02-18 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	0.95039583	µg/m3	100	100	100	2013-02-03 00:00:00	2013-02-04 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.10371535	µg/m3	100	100	100	2013-02-01 00:00:00	2013-02-02 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.16836809	µg/m3	100	100	100	2013-05-12 00:00:00	2013-05-13 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.1720625	µg/m3	100	100	100	2013-02-18 00:00:00	2013-02-19 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.20715975	µg/m3	100	100	100	2013-01-30 00:00:00	2013-01-31 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.30783329	µg/m3	95.83333333	95.83333333	100	2013-02-05 00:00:00	2013-02-06 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.33385503	µg/m3	95.83333333	95.83333333	100	2013-02-08 00:00:00	2013-02-09 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.37710416	µg/m3	100	100	100	2013-02-06 00:00:00	2013-02-07 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.38449298	µg/m3	100	100	100	2013-05-11 00:00:00	2013-05-12 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.43344451	µg/m3	100	100	100	2013-05-30 00:00:00	2013-05-31 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.51195131	µg/m3	100	100	100	2013-05-23 00:00:00	2013-05-24 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.5664444	µg/m3	100	100	100	2013-02-19 00:00:00	2013-02-20 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.56921524	µg/m3	100	100	100	2013-05-25 00:00:00	2013-05-26 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.58057963	µg/m3	95.83333333	95.83333333	100	2013-05-31 00:00:00	2013-06-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.6375625	µg/m3	100	100	100	2013-05-24 00:00:00	2013-05-25 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.68559024	µg/m3	100	100	100	2013-02-07 00:00:00	2013-02-08 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.85830548	µg/m3	100	100	100	2013-02-14 00:00:00	2013-02-15 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.87356521	µg/m3	100	95.83333333	95.83333333	2013-01-29 00:00:00	2013-01-30 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.91095131	µg/m3	100	100	100	2013-03-11 00:00:00	2013-03-12 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.97468048	µg/m3	100	100	100	2013-03-10 00:00:00	2013-03-11 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	1.98945833	µg/m3	100	100	100	2013-02-10 00:00:00	2013-02-11 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.03286798	µg/m3	100	100	100	2013-03-24 00:00:00	2013-03-25 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.05041666	µg/m3	100	100	100	2013-05-13 00:00:00	2013-05-14 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.09197916	µg/m3	100	100	100	2013-05-22 00:00:00	2013-05-23 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.11876381	µg/m3	100	100	100	2013-02-23 00:00:00	2013-02-24 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.11876381	µg/m3	100	100	100	2013-03-09 00:00:00	2013-03-10 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.21389583	µg/m3	100	100	100	2013-06-04 00:00:00	2013-06-05 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.21666666	µg/m3	100	100	100	2013-02-09 00:00:00	2013-02-10 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.29702083	µg/m3	100	100	100	2013-05-29 00:00:00	2013-05-30 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.36167368	µg/m3	100	100	100	2013-03-14 00:00:00	2013-03-15 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.39307631	µg/m3	100	100	100	2013-02-12 00:00:00	2013-02-13 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	P1D	2.49097916	µg/m3	100	100	100	2013-02-21 00:00:00	2013-02-22 00:00:00	1	1
