Countrycode	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	AveragingTime	Concentration	UnitOfMeasurement	DatetimeBegin	DatetimeEnd	Validity	Verification
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.622	µg/m3	2013-03-01 00:00:00	2013-04-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.34	µg/m3	2014-07-01 00:00:00	2014-08-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.357	µg/m3	2014-10-01 00:00:00	2014-11-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.522	ng/m3	2015-01-01 00:00:00	2015-02-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.576	ng/m3	2015-02-01 00:00:00	2015-03-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.552	ng/m3	2015-03-01 00:00:00	2015-04-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.344	ng/m3	2015-04-01 00:00:00	2015-05-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.397	ng/m3	2015-05-01 00:00:00	2015-06-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.35	ng/m3	2015-06-01 00:00:00	2015-07-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.31	ng/m3	2015-07-01 00:00:00	2015-08-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.234	ng/m3	2015-08-01 00:00:00	2015-09-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.204	ng/m3	2015-10-01 00:00:00	2015-11-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.297	ng/m3	2015-12-01 00:00:00	2016-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.27	ng/m3	2015-11-01 00:00:00	2015-12-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.507	µg/m3	2014-12-01 00:00:00	2015-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.416	µg/m3	2014-11-01 00:00:00	2014-12-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.407	µg/m3	2014-04-01 00:00:00	2014-05-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.558	µg/m3	2014-01-01 00:00:00	2014-02-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.506	µg/m3	2013-04-01 00:00:00	2013-05-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.561	µg/m3	2014-02-01 00:00:00	2014-03-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.522	µg/m3	2013-12-01 00:00:00	2014-01-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.446	µg/m3	2014-08-01 00:00:00	2014-09-01 00:00:00	1	1
IE	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0031R	IE0031R	SPO.IE.IE0031RSample2_4813	SPP.IE.IE0031RSample2_4813	SAM.IE.IE0031RSAMPLE2	Hg0 + Hg-reactive	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813	month	1.35	µg/m3	2013-11-01 00:00:00	2013-12-01 00:00:00	1	1
